,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
34901,33,unemployed,single,tertiary,no,0,yes,no,cellular,6,may,1,-1,0,unknown,no
144,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,1,-1,0,unknown,no
7482,53,blue-collar,married,secondary,no,1852,yes,no,unknown,29,may,4,-1,0,unknown,no
31323,63,retired,divorced,primary,no,1840,no,no,cellular,12,mar,3,-1,0,unknown,no
40151,53,admin.,married,secondary,no,1796,no,no,telephone,5,jun,1,-1,0,unknown,no
29002,43,technician,married,secondary,no,576,no,no,cellular,2,feb,1,-1,0,unknown,no
15886,25,services,single,secondary,no,79,no,yes,cellular,21,jul,28,-1,0,unknown,no
41110,30,admin.,married,tertiary,no,591,yes,no,cellular,17,aug,1,-1,0,unknown,no
31898,51,blue-collar,married,primary,no,5131,yes,no,cellular,9,apr,1,329,2,failure,no
13131,26,management,single,tertiary,no,33,no,yes,cellular,8,jul,1,-1,0,unknown,no
27945,48,technician,married,secondary,no,1449,yes,yes,cellular,28,jan,1,-1,0,unknown,no
14031,51,management,divorced,tertiary,no,1988,yes,no,cellular,11,jul,1,-1,0,unknown,no
30389,34,technician,divorced,tertiary,no,66,no,yes,cellular,5,feb,1,170,2,failure,no
23040,30,technician,single,secondary,no,73,no,yes,cellular,26,aug,2,-1,0,unknown,no
18522,35,management,married,tertiary,no,2801,yes,no,cellular,31,jul,2,-1,0,unknown,no
28970,37,services,single,secondary,no,21,yes,no,cellular,2,feb,1,271,2,other,no
41309,59,retired,married,secondary,no,1341,no,no,cellular,27,aug,2,97,1,other,no
2172,28,blue-collar,single,secondary,no,-284,yes,no,unknown,12,may,1,-1,0,unknown,no
14664,60,management,married,primary,no,0,yes,no,cellular,15,jul,8,-1,0,unknown,no
2772,46,blue-collar,married,secondary,no,2121,yes,no,unknown,14,may,1,-1,0,unknown,no
11090,40,technician,married,secondary,no,265,no,no,unknown,18,jun,4,-1,0,unknown,no
25480,39,management,single,secondary,no,4278,yes,no,cellular,19,nov,1,111,2,other,no
30027,52,technician,married,secondary,no,463,yes,no,cellular,4,feb,6,267,5,failure,no
33771,53,admin.,single,secondary,no,1958,no,no,telephone,23,apr,4,-1,0,unknown,no
340,41,blue-collar,single,secondary,no,842,yes,no,unknown,5,may,3,-1,0,unknown,no
20134,55,technician,married,secondary,no,462,no,no,cellular,11,aug,2,-1,0,unknown,no
17335,29,services,single,secondary,no,553,no,yes,cellular,28,jul,5,-1,0,unknown,no
25779,30,admin.,married,secondary,no,401,no,no,cellular,19,nov,1,-1,0,unknown,no
149,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,2,-1,0,unknown,no
4799,33,services,married,secondary,no,57,yes,yes,unknown,21,may,1,-1,0,unknown,no
39200,32,management,married,tertiary,no,1041,yes,no,cellular,18,may,2,-1,0,unknown,no
35036,54,admin.,married,secondary,no,614,yes,no,cellular,6,may,2,343,2,failure,no
14923,45,housemaid,married,secondary,no,258,yes,no,cellular,16,jul,2,-1,0,unknown,no
21109,45,blue-collar,married,secondary,no,0,no,no,cellular,14,aug,2,-1,0,unknown,no
6790,28,management,single,tertiary,no,1069,no,no,unknown,28,may,1,-1,0,unknown,no
41003,35,technician,married,secondary,no,1368,no,no,cellular,13,aug,2,78,3,success,no
36641,35,management,married,tertiary,no,641,yes,no,cellular,12,may,1,-1,0,unknown,no
22084,35,management,married,tertiary,no,109,no,yes,cellular,21,aug,2,-1,0,unknown,no
13357,33,management,married,tertiary,no,6,yes,no,cellular,8,jul,1,-1,0,unknown,no
39271,24,technician,single,secondary,no,-156,yes,no,cellular,18,may,2,-1,0,unknown,no
21136,57,retired,married,secondary,no,6610,no,no,cellular,14,aug,2,-1,0,unknown,no
7273,25,services,single,secondary,no,2798,yes,no,unknown,29,may,2,-1,0,unknown,no
43858,29,blue-collar,married,secondary,no,3310,no,no,cellular,2,jun,2,117,2,failure,no
17411,44,management,married,primary,no,5418,yes,yes,cellular,28,jul,5,-1,0,unknown,no
22376,44,management,divorced,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
27149,54,technician,married,secondary,no,230,no,yes,cellular,21,nov,1,100,2,failure,no
11577,43,unknown,married,tertiary,no,1937,no,no,unknown,19,jun,1,-1,0,unknown,no
30861,45,management,married,secondary,no,1134,no,yes,cellular,9,feb,4,-1,0,unknown,no
42494,87,retired,married,secondary,no,433,no,no,telephone,15,dec,1,-1,0,unknown,no
28603,33,admin.,single,secondary,no,303,no,no,cellular,29,jan,2,266,1,failure,no
21665,53,management,married,tertiary,no,261,no,no,cellular,19,aug,2,-1,0,unknown,no
31992,40,services,married,secondary,no,1293,yes,no,cellular,13,apr,3,-1,0,unknown,no
2886,54,blue-collar,married,secondary,no,1765,yes,no,unknown,14,may,1,-1,0,unknown,no
10795,61,retired,married,secondary,no,296,no,no,unknown,17,jun,1,-1,0,unknown,no
31067,27,admin.,single,tertiary,no,4991,yes,no,cellular,13,feb,1,-1,0,unknown,no
29061,58,admin.,divorced,secondary,no,0,yes,no,cellular,2,feb,1,229,5,other,no
26484,44,admin.,single,secondary,no,10386,yes,no,cellular,20,nov,1,-1,0,unknown,no
13554,42,blue-collar,married,secondary,no,-422,no,no,cellular,9,jul,1,-1,0,unknown,no
22683,43,management,married,tertiary,no,676,no,no,cellular,25,aug,4,-1,0,unknown,no
35476,27,student,single,secondary,no,8366,no,no,cellular,7,may,2,349,1,other,no
31915,34,blue-collar,married,secondary,no,1235,yes,yes,cellular,9,apr,1,-1,0,unknown,no
41526,70,retired,single,primary,no,0,no,no,telephone,9,sep,1,-1,0,unknown,no
27155,45,management,married,secondary,yes,237,yes,no,cellular,21,nov,1,-1,0,unknown,no
41435,26,management,single,tertiary,no,9447,no,no,cellular,4,sep,1,100,2,other,no
19076,43,technician,married,secondary,no,629,no,no,cellular,5,aug,1,-1,0,unknown,no
7169,37,blue-collar,married,secondary,no,11953,yes,yes,unknown,29,may,1,-1,0,unknown,no
20885,36,management,married,tertiary,no,114,no,no,cellular,13,aug,1,-1,0,unknown,no
11914,24,technician,single,primary,no,126,yes,no,unknown,20,jun,58,-1,0,unknown,no
26172,31,blue-collar,married,primary,no,347,no,no,telephone,20,nov,1,-1,0,unknown,no
43612,50,technician,married,secondary,no,402,no,no,cellular,4,may,1,180,2,failure,no
38145,31,entrepreneur,single,secondary,no,0,yes,no,cellular,15,may,1,176,1,failure,no
