,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
0,62,management,married,tertiary,no,0,no,no,cellular,13,oct,3,-1,0,unknown,no
1,24,self-employed,single,tertiary,no,91,yes,no,cellular,15,may,2,-1,0,unknown,no
2,54,entrepreneur,married,secondary,no,0,yes,no,cellular,5,may,2,287,1,failure,no
3,47,blue-collar,married,primary,no,0,no,no,cellular,26,aug,2,-1,0,unknown,no
4,31,admin.,married,secondary,no,-241,yes,no,cellular,22,jul,5,-1,0,unknown,no
5,35,management,divorced,secondary,no,910,no,no,cellular,29,aug,14,-1,0,unknown,no
6,42,services,married,secondary,no,199,no,no,cellular,30,jan,2,-1,0,unknown,no
7,31,blue-collar,married,secondary,no,1914,yes,no,unknown,21,may,1,-1,0,unknown,no
8,39,services,single,secondary,no,-388,yes,no,unknown,16,may,2,-1,0,unknown,no
9,46,admin.,married,secondary,no,31,yes,yes,telephone,28,jul,2,-1,0,unknown,no
10,65,management,divorced,tertiary,no,2756,no,no,cellular,23,sep,2,-1,0,unknown,no
11,29,blue-collar,single,secondary,no,80,yes,yes,unknown,2,jun,4,-1,0,unknown,no
12,33,management,married,tertiary,no,2441,yes,yes,cellular,16,apr,2,148,1,failure,no
13,51,technician,divorced,secondary,no,329,yes,no,unknown,28,may,5,-1,0,unknown,no
14,43,admin.,single,unknown,no,87,yes,no,unknown,7,may,2,-1,0,unknown,no
15,33,management,married,secondary,no,609,yes,no,unknown,21,may,2,-1,0,unknown,no
16,28,student,single,secondary,no,20,no,no,telephone,30,apr,2,-1,0,unknown,no
17,36,technician,single,secondary,no,1855,yes,no,cellular,4,feb,1,273,1,failure,no
18,48,management,married,secondary,no,-440,yes,yes,cellular,12,may,1,-1,0,unknown,no
19,30,technician,single,tertiary,no,3,yes,no,cellular,18,nov,1,195,1,failure,no
20,33,technician,married,tertiary,no,2586,no,no,cellular,11,aug,3,-1,0,unknown,no
21,55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,3,5,2,other,no
22,51,management,married,tertiary,no,176,yes,yes,unknown,1,jun,1,687,2,failure,no
23,47,management,married,tertiary,no,0,yes,no,cellular,4,sep,3,-1,0,unknown,no
24,38,services,divorced,secondary,no,446,yes,no,unknown,18,jun,4,-1,0,unknown,no
25,32,technician,married,unknown,no,196,yes,no,unknown,20,may,6,-1,0,unknown,no
26,47,technician,divorced,secondary,no,699,yes,no,unknown,8,may,1,-1,0,unknown,no
27,42,blue-collar,married,secondary,no,865,no,yes,unknown,5,jun,1,-1,0,unknown,no
28,36,blue-collar,married,primary,no,441,yes,no,cellular,7,may,4,358,1,failure,no
29,58,retired,married,secondary,no,255,no,no,unknown,28,may,3,-1,0,unknown,no
30,26,entrepreneur,married,tertiary,no,38,yes,no,cellular,12,may,1,294,5,failure,no
31,35,entrepreneur,married,tertiary,no,1859,yes,no,cellular,14,jul,2,-1,0,unknown,no
32,35,management,single,tertiary,no,747,no,no,cellular,23,feb,2,176,3,failure,no
33,50,blue-collar,married,primary,no,0,yes,no,cellular,13,may,1,364,2,failure,no
34,38,management,single,tertiary,no,1495,yes,no,cellular,30,jan,2,-1,0,unknown,no
35,42,services,married,tertiary,no,12223,yes,no,cellular,19,nov,1,-1,0,unknown,no
36,51,admin.,married,secondary,no,907,yes,no,telephone,21,jul,3,-1,0,unknown,no
37,39,services,married,secondary,no,946,yes,no,cellular,17,apr,2,-1,0,unknown,no
38,49,services,married,primary,no,61,yes,no,unknown,6,may,1,-1,0,unknown,no
39,55,management,married,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
40,38,blue-collar,single,primary,no,350,yes,no,unknown,21,may,1,-1,0,unknown,no
41,33,entrepreneur,married,unknown,no,73,yes,no,cellular,11,aug,1,263,2,failure,no
42,49,housemaid,married,primary,no,360,no,no,unknown,30,jun,1,-1,0,unknown,no
43,59,retired,married,primary,no,0,yes,no,unknown,26,may,7,-1,0,unknown,no
44,30,management,single,tertiary,no,19358,no,no,cellular,19,nov,2,-1,0,unknown,no
45,31,management,single,tertiary,no,0,no,no,cellular,21,aug,2,-1,0,unknown,no
46,28,blue-collar,single,secondary,no,1285,no,no,telephone,22,jul,16,-1,0,unknown,no
47,43,blue-collar,married,secondary,no,917,yes,no,cellular,8,may,2,-1,0,unknown,no
48,38,entrepreneur,married,secondary,no,680,yes,no,unknown,19,may,2,-1,0,unknown,no
49,48,services,single,primary,no,848,yes,no,unknown,15,may,1,-1,0,unknown,no
50,32,services,single,secondary,no,182,yes,no,cellular,6,may,1,-1,0,unknown,no
51,34,blue-collar,married,secondary,no,855,no,yes,cellular,14,jul,3,-1,0,unknown,no
52,46,admin.,married,primary,no,96,no,no,telephone,4,feb,2,-1,0,unknown,no
53,36,technician,single,secondary,no,9068,yes,no,unknown,23,may,1,-1,0,unknown,no
54,51,management,married,unknown,no,6482,yes,no,unknown,19,may,2,-1,0,unknown,no
55,31,technician,single,secondary,no,40,no,no,cellular,7,aug,2,-1,0,unknown,no
56,30,admin.,single,secondary,no,330,no,yes,cellular,30,jul,5,-1,0,unknown,no
57,44,technician,divorced,primary,no,538,no,no,cellular,31,jul,2,-1,0,unknown,no
58,52,entrepreneur,married,secondary,no,0,no,no,cellular,7,aug,2,-1,0,unknown,no
59,59,retired,married,primary,no,1245,no,no,unknown,18,jun,2,-1,0,unknown,no
60,53,technician,married,secondary,no,112,no,no,telephone,4,may,4,-1,0,unknown,no
61,34,blue-collar,married,secondary,no,0,yes,no,cellular,31,aug,5,110,7,failure,no
62,27,blue-collar,single,primary,no,1,yes,no,cellular,28,jul,6,-1,0,unknown,no
63,50,blue-collar,divorced,secondary,no,2725,no,no,cellular,31,jul,4,-1,0,unknown,no
64,42,management,married,tertiary,no,255,no,no,cellular,4,aug,2,-1,0,unknown,no
65,35,self-employed,married,secondary,no,0,yes,no,telephone,7,jul,4,-1,0,unknown,no
66,39,technician,married,tertiary,no,-276,no,yes,cellular,11,aug,4,-1,0,unknown,no
67,34,technician,married,secondary,no,19,yes,no,unknown,5,may,4,-1,0,unknown,no
68,59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,2,153,1,failure,no
69,43,admin.,single,secondary,no,979,yes,no,cellular,8,may,1,-1,0,unknown,no
70,36,management,divorced,tertiary,yes,-1,yes,yes,unknown,23,may,1,-1,0,unknown,no
71,51,technician,married,secondary,no,180,yes,no,cellular,20,aug,2,-1,0,unknown,no
72,59,self-employed,married,primary,no,671,yes,no,cellular,15,may,2,332,3,failure,no
73,58,retired,married,secondary,no,-172,yes,no,unknown,14,may,1,-1,0,unknown,no
74,36,admin.,single,secondary,no,9002,yes,yes,cellular,10,jul,1,-1,0,unknown,no
75,52,blue-collar,married,primary,no,359,no,no,telephone,26,aug,14,-1,0,unknown,no
76,29,management,single,secondary,no,417,no,no,cellular,7,oct,1,-1,0,unknown,no
77,26,blue-collar,married,secondary,no,622,yes,no,cellular,21,jul,2,-1,0,unknown,no
78,52,housemaid,married,primary,no,335,no,no,cellular,22,aug,5,-1,0,unknown,no
79,34,management,single,tertiary,no,184,no,no,cellular,22,jul,4,-1,0,unknown,no
80,41,management,married,secondary,yes,-771,no,yes,unknown,20,jun,2,-1,0,unknown,no
81,56,admin.,married,unknown,no,1848,yes,no,cellular,4,feb,2,260,1,failure,no
82,37,blue-collar,divorced,secondary,no,277,no,yes,cellular,8,jul,2,-1,0,unknown,no
83,32,management,married,tertiary,no,937,no,no,cellular,28,aug,1,94,2,failure,no
84,43,admin.,married,secondary,no,817,yes,yes,cellular,21,nov,1,-1,0,unknown,no
85,50,blue-collar,married,primary,no,533,no,no,cellular,21,aug,4,-1,0,unknown,no
86,30,unemployed,married,secondary,no,529,yes,yes,unknown,26,may,3,-1,0,unknown,no
87,34,blue-collar,married,secondary,no,1739,yes,yes,unknown,21,may,2,-1,0,unknown,no
88,55,management,married,unknown,no,1185,no,no,unknown,5,may,1,-1,0,unknown,no
89,31,blue-collar,single,secondary,no,2194,no,no,cellular,13,may,2,357,1,other,no
90,56,management,married,tertiary,no,14344,yes,no,cellular,5,feb,1,-1,0,unknown,no
91,45,management,married,secondary,no,5888,yes,no,unknown,26,may,5,-1,0,unknown,no
92,29,technician,single,secondary,no,-13,yes,no,cellular,14,may,3,-1,0,unknown,no
93,31,management,married,tertiary,no,50,no,no,cellular,19,aug,5,-1,0,unknown,no
94,46,admin.,married,primary,no,276,yes,yes,unknown,6,may,2,-1,0,unknown,no
95,34,management,married,tertiary,no,815,no,no,cellular,17,nov,2,-1,0,unknown,no
96,26,student,single,secondary,no,203,no,no,cellular,16,nov,1,196,1,failure,no
97,38,blue-collar,married,secondary,no,1556,yes,no,cellular,12,may,3,-1,0,unknown,no
98,59,services,married,secondary,no,0,yes,no,cellular,12,may,3,-1,0,unknown,no
99,64,retired,married,primary,no,1977,no,no,cellular,24,feb,2,-1,0,unknown,no
100,48,technician,married,tertiary,no,9207,no,no,cellular,18,aug,3,-1,0,unknown,no
101,31,technician,divorced,secondary,no,268,no,no,unknown,16,may,2,-1,0,unknown,no
